,ts_code,symbol,name,area,industry,list_date
1613,688029.SH,688029,南微医学,江苏,医疗保健,20190722
1614,688030.SH,688030,山石网科,江苏,软件服务,20190930
1615,688033.SH,688033,天宜上佳,北京,运输设备,20190722
1616,688036.SH,688036,传音控股,深圳,通信设备,20190930
1617,688037.SH,688037,芯源微,辽宁,半导体,20191216
1618,688039.SH,688039,当虹科技,浙江,软件服务,20191211
1619,688050.SH,688050,爱博医疗,北京,医疗保健,20200729
1620,688051.SH,688051,佳华科技,北京,软件服务,20200320
1621,688055.SH,688055,龙腾光电,江苏,元器件,20200817
1622,688056.SH,688056,莱伯泰科,北京,电器仪表,20200902
1623,688057.SH,688057,金达莱,江西,环境保护,20201111
1624,688058.SH,688058,宝兰德,北京,软件服务,20191101
1625,688059.SH,688059,华锐精密,湖南,机械基件,20210208
1626,688060.SH,688060,云涌科技,江苏,软件服务,20200710
1627,688063.SH,688063,派能科技,上海,电气设备,20201230
1628,688065.SH,688065,凯赛生物,上海,化纤,20200812
1629,688066.SH,688066,航天宏图,北京,软件服务,20190722
1630,688068.SH,688068,热景生物,北京,医疗保健,20190930
1631,688069.SH,688069,德林海,江苏,环境保护,20200722
1632,688070.SH,688070,纵横股份,四川,航空,20210210
1633,688077.SH,688077,大地熊,安徽,元器件,20200722
1634,688078.SH,688078,龙软科技,北京,软件服务,20191230
1635,688080.SH,688080,映翰通,北京,通信设备,20200212
1636,688081.SH,688081,兴图新科,湖北,软件服务,20200106
1637,688085.SH,688085,三友医疗,上海,医疗保健,20200409
1638,688086.SH,688086,紫晶存储,广东,IT设备,20200226
1639,688088.SH,688088,虹软科技,浙江,软件服务,20190722
1640,688089.SH,688089,嘉必优,湖北,食品,20191219
1641,688090.SH,688090,瑞松科技,广东,专用机械,20200217
1642,688093.SH,688093,世华科技,江苏,化工原料,20200930
1643,688095.SH,688095,福昕软件,福建,软件服务,20200908
1644,688096.SH,688096,京源环保,江苏,环境保护,20200409
1645,688098.SH,688098,申联生物,上海,生物制药,20191028
1646,688099.SH,688099,晶晨股份,上海,半导体,20190808
1647,688100.SH,688100,威胜信息,湖南,通信设备,20200121
1648,688101.SH,688101,三达膜,陕西,环境保护,20191115
1649,688106.SH,688106,金宏气体,江苏,化工原料,20200616
1650,688108.SH,688108,赛诺医疗,天津,医疗保健,20191030
1651,688111.SH,688111,金山办公,北京,软件服务,20191118
1652,688116.SH,688116,天奈科技,江苏,化工原料,20190925
1653,688118.SH,688118,普元信息,上海,软件服务,20191204
1654,688122.SH,688122,西部超导,陕西,小金属,20190722
1655,688123.SH,688123,聚辰股份,上海,半导体,20191223
1656,688126.SH,688126,沪硅产业-U,上海,半导体,20200420
1657,688127.SH,688127,蓝特光学,浙江,元器件,20200921
1658,688128.SH,688128,中国电研,广东,专用机械,20191105
1659,688129.SH,688129,东来技术,上海,染料涂料,20201023
1660,688133.SH,688133,泰坦科技,上海,化工原料,20201030
1661,688135.SH,688135,利扬芯片,广东,半导体,20201111
1662,688136.SH,688136,科兴制药,山东,生物制药,20201214
1663,688138.SH,688138,清溢光电,深圳,元器件,20191120
1664,688139.SH,688139,海尔生物,山东,医疗保健,20191025
1665,688155.SH,688155,先惠技术,上海,专用机械,20200811
1666,688156.SH,688156,路德环境,湖北,环境保护,20200922
1667,688157.SH,688157,松井股份,湖南,染料涂料,20200609
1668,688158.SH,688158,优刻得-W,上海,互联网,20200120
1669,688159.SH,688159,有方科技,深圳,通信设备,20200123
1670,688160.SH,688160,步科股份,上海,电器仪表,20201112
1671,688165.SH,688165,埃夫特-U,安徽,专用机械,20200715
1672,688166.SH,688166,博瑞医药,江苏,化学制药,20191108
1673,688168.SH,688168,安博通,北京,软件服务,20190906
1674,688169.SH,688169,石头科技,北京,家用电器,20200221
1675,688177.SH,688177,百奥泰-U,广东,生物制药,20200221
1676,688178.SH,688178,万德斯,江苏,环境保护,20200114
1677,688179.SH,688179,阿拉丁,上海,化学制药,20201026
1678,688180.SH,688180,君实生物-U,上海,生物制药,20200715
1679,688181.SH,688181,八亿时空,北京,半导体,20200106
1680,688183.SH,688183,生益电子,广东,元器件,20210225
1681,688185.SH,688185,康希诺-U,天津,生物制药,20200813
1682,688186.SH,688186,广大特材,江苏,特种钢,20200211
1683,688188.SH,688188,柏楚电子,上海,软件服务,20190808
1684,688189.SH,688189,南新制药,湖南,化学制药,20200326
1685,688196.SH,688196,卓越新能,福建,环境保护,20191121
1686,688198.SH,688198,佰仁医疗,北京,医疗保健,20191209
1687,688199.SH,688199,久日新材,天津,化工原料,20191105
1688,688200.SH,688200,华峰测控,北京,专用机械,20200218
1689,688202.SH,688202,美迪西,上海,医疗保健,20191105
1690,688208.SH,688208,道通科技,深圳,汽车配件,20200213
1691,688215.SH,688215,瑞晟智能,浙江,专用机械,20200828
1692,688218.SH,688218,江苏北人,江苏,专用机械,20191211
1693,688219.SH,688219,会通股份,安徽,塑料,20201118
1694,688221.SH,688221,前沿生物-U,江苏,生物制药,20201028
1695,688222.SH,688222,成都先导,四川,化学制药,20200416
1696,688228.SH,688228,开普云,广东,互联网,20200327
1697,688229.SH,688229,博睿数据,北京,软件服务,20200817
1698,688233.SH,688233,神工股份,辽宁,化工原料,20200221
1699,688256.SH,688256,寒武纪-U,北京,元器件,20200720
1700,688258.SH,688258,卓易信息,江苏,软件服务,20191209
1701,688266.SH,688266,泽璟制药-U,江苏,化学制药,20200123
1702,688268.SH,688268,华特气体,广东,化工原料,20191226
1703,688277.SH,688277,天智航-U,北京,医疗保健,20200707
1704,688278.SH,688278,特宝生物,福建,生物制药,20200117
1705,688286.SH,688286,敏芯股份,江苏,元器件,20200810
1706,688288.SH,688288,鸿泉物联,浙江,汽车配件,20191106
1707,688289.SH,688289,圣湘生物,湖南,医疗保健,20200828
1708,688298.SH,688298,东方生物,浙江,医疗保健,20200205
1709,688299.SH,688299,长阳科技,浙江,塑料,20191106
1710,688300.SH,688300,联瑞新材,江苏,矿物制品,20191115
1711,688301.SH,688301,奕瑞科技,上海,专用机械,20200918
1712,688308.SH,688308,欧科亿,湖南,机械基件,20201210
1713,688309.SH,688309,恒誉环保,山东,环境保护,20200714
1714,688310.SH,688310,迈得医疗,浙江,医疗保健,20191203
1715,688311.SH,688311,盟升电子,四川,元器件,20200731
1716,688312.SH,688312,燕麦科技,深圳,专用机械,20200608
